id html probability child_path
57 V<sup>7</sup> 0.01 16,2,57
26 ii<sup>6</sup> 0.008 16,2,26
665 vi<sup>6</sup><sub>5</sub> 0.008 16,2,665
56/6 V<sup>6</sup>/vi 0.008 16,2,56/6
3 iii 0.008 16,2,3
164 I<sup>6</sup><sub>4</sub> 0.008 16,2,164
57/6 V<sup>7</sup>/vi 0.008 16,2,57/6
Y2 &#9837;II 0.008 16,2,Y2
77/5 vii<sup>??</sup><sup>7</sup>/V 0.008 16,2,77/5
76 vii&deg;<sup>6</sup> 0.008 16,2,76
56/2 V<sup>6</sup>/ii 0.008 16,2,56/2
242 ii<sup>4</sup><sub>2</sub> 0.008 16,2,242
67 vi<sup>7</sup> 0.008 16,2,67
7 vii&deg; 0.006 16,2,7
6 vi 0.227 16,5,6
1 I 0.225 16,5,1
4 IV 0.112 16,5,4
56 V<sup>6</sup> 0.059 16,5,56
2 ii 0.046 16,5,2
16 I<sup>6</sup> 0.044 16,5,16
Y4 iv 0.038 16,5,Y4
56/5 V<sup>6</sup>/V 0.036 16,5,56/5
27 ii<sup>7</sup> 0.032 16,5,27
67 vi<sup>7</sup> 0.017 16,5,67
464 IV<sup>6</sup><sub>4</sub> 0.017 16,5,464
5/6 V/vi 0.008 16,5,5/6
b7 &#9837;VII 0.008 16,5,b7
564 V<sup>6</sup><sub>4</sub> 0.008 16,5,564
L542 V<sup>4</sup><sub>2</sub> 0.008 16,5,L542
565 V<sup>6</sup><sub>5</sub> 0.008 16,5,565
56/6 V<sup>6</sup>/vi 0.008 16,5,56/6
76/5 vii&deg;<sup>6</sup>/V 0.006 16,5,76/5
57/6 V<sup>7</sup>/vi 0.006 16,5,57/6
46 IV<sup>6</sup> 0.006 16,5,46
5 V 0.259 16,27,5
1 I 0.167 16,27,1
57 V<sup>7</sup> 0.156 16,27,57
16 I<sup>6</sup> 0.065 16,27,16
6 vi 0.044 16,27,6
4 IV 0.04 16,27,4
37 iii<sup>7</sup> 0.03 16,27,37
47 IV<sup>7</sup> 0.021 16,27,47
67 vi<sup>7</sup> 0.021 16,27,67
17 I<sup>7</sup> 0.017 16,27,17
2 ii 0.017 16,27,2
164 I<sup>6</sup><sub>4</sub> 0.017 16,27,164
56 V<sup>6</sup> 0.013 16,27,56
5/6 V/vi 0.013 16,27,5/6
365 iii<sup>6</sup><sub>5</sub> 0.008 16,27,365
643 vi<sup>4</sup><sub>3</sub> 0.008 16,27,643
7/5 vii&deg;/V 0.008 16,27,7/5
165 I<sup>6</sup><sub>5</sub> 0.008 16,27,165
464 IV<sup>6</sup><sub>4</sub> 0.008 16,27,464
57/6 V<sup>7</sup>/vi 0.008 16,27,57/6
36 iii<sup>6</sup> 0.008 16,27,36
1 I 0.221 16,47,1
5 V 0.204 16,47,5
164 I<sup>6</sup><sub>4</sub> 0.179 16,47,164
6 vi 0.07 16,47,6
16 I<sup>6</sup> 0.056 16,47,16
265 ii<sup>6</sup><sub>5</sub> 0.042 16,47,265
365 iii<sup>6</sup><sub>5</sub> 0.028 16,47,365
2 ii 0.028 16,47,2
56/6 V<sup>6</sup>/vi 0.028 16,47,56/6
26 ii<sup>6</sup> 0.021 16,47,26
27 ii<sup>7</sup> 0.021 16,47,27
57 V<sup>7</sup> 0.018 16,47,57
5/6 V/vi 0.014 16,47,5/6
364 iii<sup>6</sup><sub>4</sub> 0.014 16,47,364
3 iii 0.011 16,47,3
36 iii<sup>6</sup> 0.011 16,47,36
77/5 vii<sup>??</sup><sup>7</sup>/V 0.007 16,47,77/5
4 IV 0.183 16,6,4
2 ii 0.174 16,6,2
5 V 0.135 16,6,5
36 iii<sup>6</sup> 0.104 16,6,36
27 ii<sup>7</sup> 0.083 16,6,27
642 vi<sup>4</sup><sub>2</sub> 0.052 16,6,642
164 I<sup>6</sup><sub>4</sub> 0.043 16,6,164
1 I 0.039 16,6,1
7 vii&deg; 0.035 16,6,7
365 iii<sup>6</sup><sub>5</sub> 0.017 16,6,365
265 ii<sup>6</sup><sub>5</sub> 0.017 16,6,265
565/5 V<sup>6</sup><sub>5</sub>/V 0.017 16,6,565/5
16 I<sup>6</sup> 0.017 16,6,16
3 iii 0.017 16,6,3
664 vi<sup>6</sup><sub>4</sub> 0.017 16,6,664
26 ii<sup>6</sup> 0.017 16,6,26
56 V<sup>6</sup> 0.013 16,6,56
b6 &#9837;VI 0.013 16,6,b6
1 I 0.341 16,564,1
16 I<sup>6</sup> 0.107 16,564,16
46 IV<sup>6</sup> 0.084 16,564,46
665 vi<sup>6</sup><sub>5</sub> 0.075 16,564,665
5 V 0.061 16,564,5
664 vi<sup>6</sup><sub>4</sub> 0.056 16,564,664
2 ii 0.037 16,564,2
542 V<sup>4</sup><sub>2</sub> 0.037 16,564,542
56 V<sup>6</sup> 0.037 16,564,56
6 vi 0.037 16,564,6
464 IV<sup>6</sup><sub>4</sub> 0.033 16,564,464
M76 &#9837;VII<sup>6</sup> 0.019 16,564,M76
5/6 V/vi 0.019 16,564,5/6
66 vi<sup>6</sup> 0.019 16,564,66
56/5 V<sup>6</sup>/V 0.019 16,564,56/5
542/5 V<sup>4</sup><sub>2</sub>/V 0.019 16,564,542/5
16 I<sup>6</sup> 0.318 16,164,16
1 I 0.132 16,164,1
3 iii 0.091 16,164,3
6 vi 0.091 16,164,6
5 V 0.059 16,164,5
66 vi<sup>6</sup> 0.055 16,164,66
4 IV 0.055 16,164,4
365 iii<sup>6</sup><sub>5</sub> 0.045 16,164,365
342 iii<sup>4</sup><sub>2</sub> 0.036 16,164,342
57 V<sup>7</sup> 0.018 16,164,57
7/6 vii&deg;/vi 0.018 16,164,7/6
7/5 vii&deg;/V 0.018 16,164,7/5
57/2 V<sup>7</sup>/ii 0.018 16,164,57/2
67 vi<sup>7</sup> 0.018 16,164,67
464 IV<sup>6</sup><sub>4</sub> 0.018 16,164,464
5/5 V/V 0.005 16,164,5/5
142 I<sup>4</sup><sub>2</sub> 0.005 16,164,142
164 I<sup>6</sup><sub>4</sub> 0.254 16,26,164
1 I 0.189 16,26,1
5 V 0.16 16,26,5
57 V<sup>7</sup> 0.136 16,26,57
27 ii<sup>7</sup> 0.059 16,26,27
7/5 vii&deg;/V 0.047 16,26,7/5
47 IV<sup>7</sup> 0.047 16,26,47
16 I<sup>6</sup> 0.024 16,26,16
2 ii 0.024 16,26,2
56/5 V<sup>6</sup>/V 0.024 16,26,56/5
L564 V<sup>6</sup><sub>4</sub> 0.012 16,26,L564
565/5 V<sup>6</sup><sub>5</sub>/V 0.012 16,26,565/5
36 iii<sup>6</sup> 0.012 16,26,36
5 V 0.421 16,265,5
47 IV<sup>7</sup> 0.175 16,265,47
1 I 0.14 16,265,1
164 I<sup>6</sup><sub>4</sub> 0.105 16,265,164
27 ii<sup>7</sup> 0.07 16,265,27
2 ii 0.035 16,265,2
16 I<sup>6</sup> 0.035 16,265,16
543/4 V<sup>4</sup><sub>3</sub>/IV 0.018 16,265,543/4
4 IV 0.238 16,3,4
67 vi<sup>7</sup> 0.2 16,3,67
664 vi<sup>6</sup><sub>4</sub> 0.175 16,3,664
5 V 0.1 16,3,5
2 ii 0.1 16,3,2
1 I 0.1 16,3,1
56/3 V<sup>6</sup>/iii 0.05 16,3,56/3
37 iii<sup>7</sup> 0.038 16,3,37
5 V 0.493 16,5/5,5
56/5 V<sup>6</sup>/V 0.16 16,5/5,56/5
4 IV 0.093 16,5/5,4
46/6 IV<sup>6</sup>/vi 0.053 16,5/5,46/6
b7 &#9837;VII 0.053 16,5/5,b7
66 vi<sup>6</sup> 0.053 16,5/5,66
465 IV<sup>6</sup><sub>5</sub> 0.053 16,5/5,465
1 I 0.04 16,5/5,1
27 ii<sup>7</sup> 0.333 16,67,27
5/5 V/V 0.083 16,67,5/5
543 V<sup>4</sup><sub>3</sub> 0.056 16,67,543
5 V 0.056 16,67,5
L27 II<sup>7</sup> 0.056 16,67,L27
57 V<sup>7</sup> 0.056 16,67,57
4 IV 0.056 16,67,4
2 ii 0.056 16,67,2
56/5 V<sup>6</sup>/V 0.056 16,67,56/5
164 I<sup>6</sup><sub>4</sub> 0.056 16,67,164
6 vi 0.056 16,67,6
57/5 V<sup>7</sup>/V 0.042 16,67,57/5
b7 &#9837;VII 0.028 16,67,b7
264 ii<sup>6</sup><sub>4</sub> 0.014 16,67,264
1 I 0.735 16,56,1
6 vi 0.163 16,56,6
b443 iv<sup>4</sup><sub>3</sub> 0.082 16,56,b443
164 I<sup>6</sup><sub>4</sub> 0.02 16,56,164
1 I 0.289 16,b4,1
16 I<sup>6</sup> 0.267 16,b4,16
57 V<sup>7</sup> 0.089 16,b4,57
b36 &#9837;III<sup>6</sup> 0.089 16,b4,b36
b46 iv<sup>6</sup> 0.067 16,b4,b46
5 V 0.022 16,b4,5
5 V 0.476 16,57/5,5
57 V<sup>7</sup> 0.333 16,57/5,57
4 IV 0.167 16,57/5,4
27 ii<sup>7</sup> 0.024 16,57/5,27
1 I 0.195 16,b7,1
b7 &#9837;VII 0.195 16,b7,b7
6 vi 0.098 16,b7,6
4 IV 0.098 16,b7,4
57 V<sup>7</sup> 0.098 16,b7,57
66 vi<sup>6</sup> 0.098 16,b7,66
16 I<sup>6</sup> 0.098 16,b7,16
Y5 v&deg; 0.049 16,b7,Y5
4 IV 0.205 16,37,4
3 iii 0.179 16,37,3
26 ii<sup>6</sup> 0.103 16,37,26
27 ii<sup>7</sup> 0.103 16,37,27
27 ii<sup>7</sup> 0.556 16,b16,27
564 V<sup>6</sup><sub>4</sub> 0.111 16,b16,564
5/5 V/V 0.111 16,b16,5/5
b6 &#9837;VI 0.083 16,b16,b6
57/5 V<sup>7</sup>/V 0.083 16,b16,57/5
2 ii 0.056 16,b16,2
1 I 0.571 16,543,1
57 V<sup>7</sup> 0.229 16,543,57
164 I<sup>6</sup><sub>4</sub> 0.2 16,543,164
56 V<sup>6</sup> 0.455 16,66,56
665 vi<sup>6</sup><sub>5</sub> 0.303 16,66,665
4 IV 0.121 16,66,4
L76 vii<sup>6</sup> 0.121 16,66,L76
4 IV 0.257 56,6,4
5 V 0.244 56,6,5
2 ii 0.064 56,6,2
56 V<sup>6</sup> 0.061 56,6,56
3 iii 0.056 56,6,3
164 I<sup>6</sup><sub>4</sub> 0.056 56,6,164
1 I 0.047 56,6,1
36 iii<sup>6</sup> 0.031 56,6,36
664 vi<sup>6</sup><sub>4</sub> 0.021 56,6,664
56/6 V<sup>6</sup>/vi 0.014 56,6,56/6
46 IV<sup>6</sup> 0.013 56,6,46
16 I<sup>6</sup> 0.011 56,6,16
37 iii<sup>7</sup> 0.011 56,6,37
M143 I<sup>4</sup><sub>3</sub> 0.009 56,6,M143
66 vi<sup>6</sup> 0.009 56,6,66
26 ii<sup>6</sup> 0.008 56,6,26
7 vii&deg; 0.008 56,6,7
27 ii<sup>7</sup> 0.006 56,6,27
b27 ii<sup>??</sup><sup>7</sup> 0.005 56,6,b27
56/5 V<sup>6</sup>/V 0.005 56,6,56/5
264 ii<sup>6</sup><sub>4</sub> 0.005 56,6,264
4 IV 0.172 56,1,4
5 V 0.146 56,1,5
56 V<sup>6</sup> 0.121 56,1,56
2 ii 0.112 56,1,2
6 vi 0.088 56,1,6
3 iii 0.058 56,1,3
16 I<sup>6</sup> 0.038 56,1,16
164 I<sup>6</sup><sub>4</sub> 0.029 56,1,164
47 IV<sup>7</sup> 0.027 56,1,47
464 IV<sup>6</sup><sub>4</sub> 0.025 56,1,464
46 IV<sup>6</sup> 0.018 56,1,46
564 V<sup>6</sup><sub>4</sub> 0.014 56,1,564
5/5 V/V 0.013 56,1,5/5
27 ii<sup>7</sup> 0.012 56,1,27
56/2 V<sup>6</sup>/ii 0.01 56,1,56/2
37 iii<sup>7</sup> 0.01 56,1,37
17 I<sup>7</sup> 0.007 56,1,17
5/6 V/vi 0.005 56,1,5/6
L242 II<sup>4</sup><sub>2</sub> 0.005 56,1,L242
57/4 V<sup>7</sup>/IV 0.005 56,1,57/4
b47 iv<sup>7</sup> 0.005 56,1,b47
7/6 vii&deg;/vi 0.005 56,1,7/6
542 V<sup>4</sup><sub>2</sub> 0.005 56,1,542
6 vi 0.266 56,5,6
1 I 0.156 56,5,1
4 IV 0.113 56,5,4
2 ii 0.051 56,5,2
67 vi<sup>7</sup> 0.046 56,5,67
27 ii<sup>7</sup> 0.036 56,5,27
57 V<sup>7</sup> 0.036 56,5,57
665 vi<sup>6</sup><sub>5</sub> 0.033 56,5,665
46 IV<sup>6</sup> 0.031 56,5,46
464 IV<sup>6</sup><sub>4</sub> 0.031 56,5,464
37 iii<sup>7</sup> 0.031 56,5,37
b7 &#9837;VII 0.02 56,5,b7
3 iii 0.02 56,5,3
D3 &#9837;III 0.02 56,5,D3
5/5 V/V 0.013 56,5,5/5
47 IV<sup>7</sup> 0.01 56,5,47
56/6 V<sup>6</sup>/vi 0.01 56,5,56/6
16 I<sup>6</sup> 0.01 56,5,16
b56 v<sup>6</sup> 0.01 56,5,b56
56 V<sup>6</sup> 0.01 56,5,56
564 V<sup>6</sup><sub>4</sub> 0.005 56,5,564
1 I 0.319 56,4,1
5 V 0.214 56,4,5
6 vi 0.188 56,4,6
56 V<sup>6</sup> 0.034 56,4,56
3 iii 0.031 56,4,3
5/2 V/ii 0.031 56,4,5/2
46 IV<sup>6</sup> 0.031 56,4,46
464 IV<sup>6</sup><sub>4</sub> 0.023 56,4,464
57 V<sup>7</sup> 0.023 56,4,57
16 I<sup>6</sup> 0.016 56,4,16
b3 &#9837;III 0.01 56,4,b3
442 IV<sup>4</sup><sub>2</sub> 0.01 56,4,442
7/7 vii&deg;/vii 0.008 56,4,7/7
464/4 IV<sup>6</sup><sub>4</sub>/IV 0.005 56,4,464/4
164 I<sup>6</sup><sub>4</sub> 0.396 56,46,164
5 V 0.121 56,46,5
56 V<sup>6</sup> 0.114 56,46,56
4 IV 0.086 56,46,4
16 I<sup>6</sup> 0.079 56,46,16
36 iii<sup>6</sup> 0.061 56,46,36
1 I 0.057 56,46,1
565 V<sup>6</sup><sub>5</sub> 0.014 56,46,565
57 V<sup>7</sup> 0.014 56,46,57
b46 iv<sup>6</sup> 0.014 56,46,b46
66 vi<sup>6</sup> 0.014 56,46,66
5/6 V/vi 0.011 56,46,5/6
7/6 vii&deg;/vi 0.007 56,46,7/6
464 IV<sup>6</sup><sub>4</sub> 0.007 56,46,464
5 V 0.269 56,67,5
4 IV 0.212 56,67,4
27 ii<sup>7</sup> 0.065 56,67,27
1 I 0.053 56,67,1
57 V<sup>7</sup> 0.049 56,67,57
642 vi<sup>4</sup><sub>2</sub> 0.033 56,67,642
b57 v<sup>7</sup> 0.033 56,67,b57
2 ii 0.033 56,67,2
b5 v 0.016 56,67,b5
16 I<sup>6</sup> 0.016 56,67,16
3 iii 0.016 56,67,3
56 V<sup>6</sup> 0.016 56,67,56
57/5 V<sup>7</sup>/V 0.008 56,67,57/5
4 IV 0.256 56,2,4
1 I 0.199 56,2,1
16 I<sup>6</sup> 0.128 56,2,16
27 ii<sup>7</sup> 0.062 56,2,27
66 vi<sup>6</sup> 0.062 56,2,66
3 iii 0.057 56,2,3
6 vi 0.057 56,2,6
665 vi<sup>6</sup><sub>5</sub> 0.047 56,2,665
5 V 0.043 56,2,5
242 ii<sup>4</sup><sub>2</sub> 0.019 56,2,242
Y2 &#9837;II 0.216 56,66,Y2
4 IV 0.115 56,66,4
16 I<sup>6</sup> 0.101 56,66,16
2 ii 0.074 56,66,2
7/6 vii&deg;/vi 0.054 56,66,7/6
543/6 V<sup>4</sup><sub>3</sub>/vi 0.054 56,66,543/6
77/2 vii<sup>??</sup><sup>7</sup>/ii 0.054 56,66,77/2
56 V<sup>6</sup> 0.054 56,66,56
464 IV<sup>6</sup><sub>4</sub> 0.047 56,66,464
46 IV<sup>6</sup> 0.047 56,66,46
5 V 0.034 56,66,5
164 I<sup>6</sup><sub>4</sub> 0.027 56,66,164
6 vi 0.027 56,66,6
543/3 V<sup>4</sup><sub>3</sub>/iii 0.027 56,66,543/3
564 V<sup>6</sup><sub>4</sub> 0.014 56,66,564
1 I 0.287 56,564,1
4 IV 0.205 56,564,4
364 iii<sup>6</sup><sub>4</sub> 0.148 56,564,364
5 V 0.074 56,564,5
67 vi<sup>7</sup> 0.066 56,564,67
6 vi 0.066 56,564,6
56 V<sup>6</sup> 0.033 56,564,56
56/5 V<sup>6</sup>/V 0.033 56,564,56/5
b3 &#9837;III 0.033 56,564,b3
17 I<sup>7</sup> 0.033 56,564,17
542 V<sup>4</sup><sub>2</sub> 0.016 56,564,542
3 iii 0.008 56,564,3
46 IV<sup>6</sup> 0.489 56,b7,46
57/2 V<sup>7</sup>/ii 0.128 56,b7,57/2
4 IV 0.117 56,b7,4
56/2 V<sup>6</sup>/ii 0.085 56,b7,56/2
6 vi 0.074 56,b7,6
67 vi<sup>7</sup> 0.043 56,b7,67
2 ii 0.032 56,b7,2
465 IV<sup>6</sup><sub>5</sub> 0.032 56,b7,465
564 V<sup>6</sup><sub>4</sub> 0.353 56,464,564
164 I<sup>6</sup><sub>4</sub> 0.162 56,464,164
5 V 0.132 56,464,5
564/6 V<sup>6</sup><sub>4</sub>/vi 0.118 56,464,564/6
542/6 V<sup>4</sup><sub>2</sub>/vi 0.059 56,464,542/6
1 I 0.059 56,464,1
b36 &#9837;III<sup>6</sup> 0.044 56,464,b36
5/6 V/vi 0.044 56,464,5/6
36 iii<sup>6</sup> 0.029 56,464,36
6 vi 0.339 56,3,6
4 IV 0.254 56,3,4
564 V<sup>6</sup><sub>4</sub> 0.136 56,3,564
5 V 0.085 56,3,5
364 iii<sup>6</sup><sub>4</sub> 0.068 56,3,364
1 I 0.068 56,3,1
2 ii 0.051 56,3,2
2 ii 0.549 56,664,2
342 iii<sup>4</sup><sub>2</sub> 0.078 56,664,342
16 I<sup>6</sup> 0.078 56,664,16
6 vi 0.078 56,664,6
66 vi<sup>6</sup> 0.078 56,664,66
564 V<sup>6</sup><sub>4</sub> 0.078 56,664,564
1 I 0.059 56,664,1
4 IV 0.385 56,16,4
5 V 0.205 56,16,5
67 vi<sup>7</sup> 0.103 56,16,67
6 vi 0.103 56,16,6
26 ii<sup>6</sup> 0.103 56,16,26
b7 &#9837;VII 0.103 56,16,b7
4 IV 0.235 56,164,4
56 V<sup>6</sup> 0.235 56,164,56
47/2 IV<sup>7</sup>/ii 0.118 56,164,47/2
364 iii<sup>6</sup><sub>4</sub> 0.118 56,164,364
46 IV<sup>6</sup> 0.118 56,164,46
Y6 &#9837;VI 0.118 56,164,Y6
57 V<sup>7</sup> 0.059 56,164,57
5 V 0.444 56,17,5
47 IV<sup>7</sup> 0.222 56,17,47
27 ii<sup>7</sup> 0.111 56,17,27
4 IV 0.111 56,17,4
37 iii<sup>7</sup> 0.111 56,17,37
4 IV 0.515 56,27,4
1 I 0.333 56,27,1
16 I<sup>6</sup> 0.121 56,27,16
57 V<sup>7</sup> 0.03 56,27,57
6 vi 0.7 56,5/6,6
564/6 V<sup>6</sup><sub>4</sub>/vi 0.267 56,5/6,564/6
4 IV 0.033 56,5/6,4
1 I 0.875 56,57,1
4 IV 0.125 56,57,4
5 V 0.516 56,564/5,5
M5 v 0.258 56,564/5,M5
56 V<sup>6</sup> 0.129 56,564/5,56
164 I<sup>6</sup><sub>4</sub> 0.097 56,564/5,164
36 iii<sup>6</sup> 0.172 56,47,36
265 ii<sup>6</sup><sub>5</sub> 0.138 56,47,265
37 iii<sup>7</sup> 0.138 56,47,37
7/6 vii&deg;/vi 0.138 56,47,7/6
542 V<sup>4</sup><sub>2</sub> 0.138 56,47,542
3 iii 0.138 56,47,3
1 I 0.286 56,5/5,1
4 IV 0.143 56,5/5,4
56/2 V<sup>6</sup>/ii 0.143 56,5/5,56/2
47/6 IV<sup>7</sup>/vi 0.143 56,5/5,47/6
6 vi 0.143 56,5/5,6
76 vii&deg;<sup>6</sup> 0.143 56,5/5,76
4 IV 0.227 5/6,6,4
5 V 0.155 5/6,6,5
2 ii 0.094 5/6,6,2
5/6 V/vi 0.088 5/6,6,5/6
1 I 0.085 5/6,6,1
66 vi<sup>6</sup> 0.032 5/6,6,66
642 vi<sup>4</sup><sub>2</sub> 0.025 5/6,6,642
164 I<sup>6</sup><sub>4</sub> 0.019 5/6,6,164
3 iii 0.016 5/6,6,3
36 iii<sup>6</sup> 0.015 5/6,6,36
47 IV<sup>7</sup> 0.015 5/6,6,47
27 ii<sup>7</sup> 0.013 5/6,6,27
56/6 V<sup>6</sup>/vi 0.012 5/6,6,56/6
57/6 V<sup>7</sup>/vi 0.011 5/6,6,57/6
46 IV<sup>6</sup> 0.011 5/6,6,46
b7 &#9837;VII 0.011 5/6,6,b7
5/5 V/V 0.01 5/6,6,5/5
26 ii<sup>6</sup> 0.01 5/6,6,26
56 V<sup>6</sup> 0.01 5/6,6,56
37 iii<sup>7</sup> 0.009 5/6,6,37
664 vi<sup>6</sup><sub>4</sub> 0.008 5/6,6,664
264 ii<sup>6</sup><sub>4</sub> 0.007 5/6,6,264
364 iii<sup>6</sup><sub>4</sub> 0.006 5/6,6,364
565/6 V<sup>6</sup><sub>5</sub>/vi 0.006 5/6,6,565/6
543/6 V<sup>4</sup><sub>3</sub>/vi 0.005 5/6,6,543/6
5 V 0.249 5/6,4,5
1 I 0.238 5/6,4,1
5/6 V/vi 0.154 5/6,4,5/6
2 ii 0.048 5/6,4,2
6 vi 0.046 5/6,4,6
b4 iv 0.035 5/6,4,b4
56/6 V<sup>6</sup>/vi 0.03 5/6,4,56/6
3 iii 0.027 5/6,4,3
5/5 V/V 0.022 5/6,4,5/5
664 vi<sup>6</sup><sub>4</sub> 0.017 5/6,4,664
b6 &#9837;VI 0.014 5/6,4,b6
57 V<sup>7</sup> 0.01 5/6,4,57
67 vi<sup>7</sup> 0.009 5/6,4,67
542 V<sup>4</sup><sub>2</sub> 0.008 5/6,4,542
7/5 vii&deg;/V 0.008 5/6,4,7/5
57/5 V<sup>7</sup>/V 0.008 5/6,4,57/5
16 I<sup>6</sup> 0.007 5/6,4,16
565/6 V<sup>6</sup><sub>5</sub>/vi 0.005 5/6,4,565/6
5/6 V/vi 0.304 5/6,2,5/6
6 vi 0.207 5/6,2,6
66 vi<sup>6</sup> 0.158 5/6,2,66
5 V 0.087 5/6,2,5
4 IV 0.06 5/6,2,4
3 iii 0.043 5/6,2,3
16 I<sup>6</sup> 0.043 5/6,2,16
1 I 0.033 5/6,2,1
57 V<sup>7</sup> 0.022 5/6,2,57
27 ii<sup>7</sup> 0.022 5/6,2,27
D3 &#9837;III 0.011 5/6,2,D3
7/3 vii&deg;/iii 0.011 5/6,2,7/3
5 V 0.288 5/6,1,5
5/6 V/vi 0.194 5/6,1,5/6
2 ii 0.112 5/6,1,2
5/5 V/V 0.094 5/6,1,5/5
6 vi 0.065 5/6,1,6
57 V<sup>7</sup> 0.047 5/6,1,57
b37 &#9837;III<sup>7</sup> 0.024 5/6,1,b37
164 I<sup>6</sup><sub>4</sub> 0.024 5/6,1,164
M142 I<sup>4</sup><sub>2</sub> 0.024 5/6,1,M142
67 vi<sup>7</sup> 0.024 5/6,1,67
27 ii<sup>7</sup> 0.024 5/6,1,27
4 IV 0.024 5/6,1,4
56 V<sup>6</sup> 0.018 5/6,1,56
5/2 V/ii 0.012 5/6,1,5/2
b7 &#9837;VII 0.006 5/6,1,b7
6 vi 0.434 5/6,57/6,6
4 IV 0.248 5/6,57/6,4
1 I 0.055 5/6,57/6,1
2 ii 0.055 5/6,57/6,2
b7 &#9837;VII 0.055 5/6,57/6,b7
5/6 V/vi 0.041 5/6,57/6,5/6
17 I<sup>7</sup> 0.028 5/6,57/6,17
37 iii<sup>7</sup> 0.028 5/6,57/6,37
67 vi<sup>7</sup> 0.028 5/6,57/6,67
565/6 V<sup>6</sup><sub>5</sub>/vi 0.028 5/6,57/6,565/6
6 vi 0.613 5/6,56/6,6
5/6 V/vi 0.123 5/6,56/6,5/6
564/6 V<sup>6</sup><sub>4</sub>/vi 0.113 5/6,56/6,564/6
565/6 V<sup>6</sup><sub>5</sub>/vi 0.075 5/6,56/6,565/6
7/6 vii&deg;/vi 0.038 5/6,56/6,7/6
67 vi<sup>7</sup> 0.038 5/6,56/6,67
6 vi 0.413 5/6,564/6,6
5/6 V/vi 0.275 5/6,564/6,5/6
2 ii 0.257 5/6,564/6,2
56/6 V<sup>6</sup>/vi 0.055 5/6,564/6,56/6
5/6 V/vi 0.383 5/6,27,5/6
37 iii<sup>7</sup> 0.106 5/6,27,37
5 V 0.096 5/6,27,5
16 I<sup>6</sup> 0.085 5/6,27,16
7/3 vii&deg;/iii 0.085 5/6,27,7/3
442 IV<sup>4</sup><sub>2</sub> 0.043 5/6,27,442
57 V<sup>7</sup> 0.043 5/6,27,57
365 iii<sup>6</sup><sub>5</sub> 0.043 5/6,27,365
664 vi<sup>6</sup><sub>4</sub> 0.043 5/6,27,664
3 iii 0.021 5/6,27,3
5/6 V/vi 0.414 5/6,664,5/6
57/6 V<sup>7</sup>/vi 0.184 5/6,664,57/6
47 IV<sup>7</sup> 0.126 5/6,664,47
564 V<sup>6</sup><sub>4</sub> 0.046 5/6,664,564
6 vi 0.046 5/6,664,6
365 iii<sup>6</sup><sub>5</sub> 0.046 5/6,664,365
4 IV 0.034 5/6,664,4
3 iii 0.011 5/6,664,3
164 I<sup>6</sup><sub>4</sub> 0.145 5/6,67,164
4 IV 0.096 5/6,67,4
5/6 V/vi 0.06 5/6,67,5/6
56/6 V<sup>6</sup>/vi 0.048 5/6,67,56/6
b57 v<sup>7</sup> 0.048 5/6,67,b57
3 iii 0.048 5/6,67,3
M143 I<sup>4</sup><sub>3</sub> 0.048 5/6,67,M143
M57 v<sup>7</sup> 0.048 5/6,67,M57
Y4 iv 0.048 5/6,67,Y4
L27 II<sup>7</sup> 0.048 5/6,67,L27
57/6 V<sup>7</sup>/vi 0.048 5/6,67,57/6
27 ii<sup>7</sup> 0.048 5/6,67,27
1 I 0.048 5/6,67,1
6 vi 0.048 5/6,67,6
47 IV<sup>7</sup> 0.036 5/6,67,47
57/5 V<sup>7</sup>/V 0.024 5/6,67,57/5
664 vi<sup>6</sup><sub>4</sub> 0.012 5/6,67,664
364 iii<sup>6</sup><sub>4</sub> 0.243 5/6,66,364
6 vi 0.23 5/6,66,6
5 V 0.054 5/6,66,5
56/6 V<sup>6</sup>/vi 0.054 5/6,66,56/6
76/6 vii&deg;<sup>6</sup>/vi 0.054 5/6,66,76/6
264 ii<sup>6</sup><sub>4</sub> 0.054 5/6,66,264
57/5 V<sup>7</sup>/V 0.054 5/6,66,57/5
7 vii&deg; 0.041 5/6,66,7
M76 &#9837;VII<sup>6</sup> 0.041 5/6,66,M76
564/6 V<sup>6</sup><sub>4</sub>/vi 0.014 5/6,66,564/6
5 V 0.441 5/6,47,5
36 iii<sup>6</sup> 0.191 5/6,47,36
365 iii<sup>6</sup><sub>5</sub> 0.147 5/6,47,365
26 ii<sup>6</sup> 0.132 5/6,47,26
6 vi 0.059 5/6,47,6
5/6 V/vi 0.015 5/6,47,5/6
6 vi 0.439 5/6,5,6
1 I 0.281 5/6,5,1
4 IV 0.123 5/6,5,4
Y2 &#9837;II 0.07 5/6,5,Y2
5/6 V/vi 0.018 5/6,5,5/6
5 V 0.444 5/6,3,5
5/6 V/vi 0.222 5/6,3,5/6
6 vi 0.111 5/6,3,6
17 I<sup>7</sup> 0.089 5/6,3,17
67 vi<sup>7</sup> 0.067 5/6,3,67
2 ii 0.316 5/6,5/2,2
5/5 V/V 0.211 5/6,5/2,5/5
264 ii<sup>6</sup><sub>4</sub> 0.105 5/6,5/2,264
57/5 V<sup>7</sup>/V 0.105 5/6,5/2,57/5
4/2 IV/ii 0.105 5/6,5/2,4/2
